transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:B08,6068278_1_2,5,2010-06-23 16:15:25.000000,2010-06-23 16:26:13.999999,2010-06-23 16:42:42.000000,2010-06-23 16:46:22.000000,3062.157,3246.542,7746.953,16.1874558404,12.1384754946,20.9343830893
6072510_2_1,3:628,6068772_1_1,1,2010-06-18 09:12:26.999998,2010-06-18 09:17:45.000000,2010-06-18 09:30:02.999999,2010-06-18 09:35:41.000000,3480.341,1280.468,3406.388,11.1569980928,3.6977858114199997,11.9893626063
6061249_1_1,3:R20,6067397_1_1,1,2010-06-14 08:35:58.000000,2010-06-14 08:59:56.000000,2010-06-14 08:46:10.999999,2010-06-14 08:47:01.000000,1523.5410000000002,2987.6820000000002,4633.209,13.587409981099999,10.7012832073,6.50392893342
6029412_1_4,3:629,6005839_3_4,11,2010-06-05 21:56:11.999999,2010-06-05 22:19:15.000000,2010-06-05 21:56:44.000000,2010-06-05 21:58:25.000000,11232.143999999998,163.591,17592.252,60.7783391752,52.202217337600004,12.351224065899999
6059156_1_2,3:629,6068388_2_2,3,2010-06-18 18:23:17.999999,2010-06-18 18:29:29.000000,2010-06-18 19:04:38.999999,2010-06-18 19:05:22.000001,3317.309,1876.7720000000002,19189.215,10.043763478099999,5.16426570321,37.9633684191
6031044_3_8,10:119,6028005_1_3,1,2010-05-20 22:44:12.999999,2010-05-20 23:06:31.000000,2010-05-20 22:51:09.999999,2010-05-20 22:55:51.000000,1139.265,1103.837,8658.136,15.9377285449,15.848701397200001,5.89891483605
6059156_1_1,10:629,6077968_1_1,3,2010-06-18 07:45:09.000001,2010-06-18 08:09:17.000001,2010-06-18 07:55:14.000001,2010-06-18 08:03:35.000000,6975.548000000001,2769.631,3942.4240000000004,19.2584549388,15.493335195,10.5692145255
6030915_1_8,10:119,6028005_1_3,1,2010-05-20 22:44:12.999999,2010-05-20 23:06:31.000000,2010-05-20 22:51:09.999999,2010-05-20 22:55:51.000000,1139.265,1103.837,8658.136,15.9377285449,15.848701397200001,5.89891483605
6010967_1_3,10:635,6027153_1_2,1,2010-05-19 19:15:34.999999,2010-05-19 19:21:21.000000,2010-05-19 19:40:25.000002,2010-05-19 19:41:15.999999,3448.198,1499.616,9841.832,11.180178025999998,3.84303516624,23.1316076454
6016272_1_2,10:F15,6021321_2_4,5,2010-05-26 20:03:46.999999,2010-05-26 20:38:04.000000,2010-05-26 20:24:20.000000,2010-05-26 20:26:36.000000,9148.521999999999,6636.283,6458.593000000001,39.7331634559,26.524862331199998,16.2602750846
6018706_2_1,3:G26,6068278_1_2,1,2010-06-23 16:17:02.000001,2010-06-23 16:32:51.000000,2010-06-23 16:28:44.000002,2010-06-23 16:31:30.000000,7534.307,5366.151,1703.58,16.1874558404,12.666351130299999,14.0199631099
6091892_2_1,3:R16,6028436_2_2,5,2010-06-04 09:00:24.000001,2010-06-04 09:12:43.000001,2010-06-04 09:00:46.000000,2010-06-04 09:02:55.000001,1775.521,164.516,3240.2490000000003,8.67969910232,8.148060447699999,4.50685341341
6056696_1_1,10:F21,6088357_1_1,1,2010-06-20 10:40:50.000001,2010-06-20 11:10:41.999999,2010-06-20 10:45:47.000000,2010-06-20 10:51:08.000000,3237.715,1600.662,17434.326,31.5610275241,30.840995395900002,6.75803394358
6031512_2_2,3:119,6065846_1_2,4,2010-06-14 17:23:12.000002,2010-06-14 17:27:25.000000,2010-06-14 17:30:23.000000,2010-06-14 17:31:23.000000,15928.465,1388.364,1303.528,30.920216620300003,14.534638966800001,19.4751554329
6020375_1_2,10:635,6066152_1_5,4,2010-06-18 22:15:05.000000,2010-06-18 22:18:40.000000,2010-06-18 22:47:12.000000,2010-06-18 22:49:11.000000,3160.4590000000003,700.549,14877.886999999999,15.170517110899999,4.11584499694,29.6106168102
6020902_1_1,3:D37,6046978_1_1,5,2010-05-23 09:51:52.999999,2010-05-23 10:01:54.000000,2010-05-23 10:24:48.000000,2010-05-23 10:29:34.000000,23144.382,8140.994000000001,18448.542,47.318067134399996,25.949454920700003,55.9582541908
6073851_1_2,3:132,6067994_1_5,5,2010-06-14 17:46:38.000000,2010-06-14 17:54:24.000000,2010-06-14 18:17:43.000001,2010-06-14 18:17:53.000000,3556.184,2300.053,14893.495,14.5408708466,7.3830284725,31.684584505300002
6006491_1_1,3:217,6033603_2_1,6,2010-06-01 09:19:07.999999,2010-06-01 09:59:55.000000,2010-06-01 09:46:18.000002,2010-06-01 09:52:58.000001,5854.012,17429.907,4006.26,34.1861149466,33.662116048499996,21.0849400412
6023565_1_2,3:J31,6027174_1_3,8,2010-05-26 13:11:31.999998,2010-05-26 14:03:26.000001,2010-05-26 13:26:16.999999,2010-05-26 13:27:45.000000,15200.785,5323.456999999999,15590.146,49.8641410206,47.0877351613,18.9414609697
6016709_1_1,3:A41,6014457_2_3,1,2010-06-03 09:50:11.000001,2010-06-03 10:15:50.000002,2010-06-03 09:56:16.000001,2010-06-03 09:58:03.000000,4280.413,637.906,11405.546999999999,27.0936589716,22.3011496865,7.583459324189999
6055629_1_1,3:612,6055122_1_1,11,2010-06-13 08:27:18.999999,2010-06-13 08:54:53.000001,2010-06-13 08:39:38.000000,2010-06-13 08:40:44.000000,8455.183,5863.003000000001,12296.255,36.7095880161,35.5283968565,14.121131941300002
6098773_4_2,4:D17S,6105785_1_4,1,2010-09-24 18:07:23.000001,2010-09-24 18:16:23.000000,2010-09-24 18:34:41.000000,2010-09-24 18:35:08.000000,1906.7089999999998,1541.066,9533.37,8.3635778475,3.20126757941,22.010666705100004
6106408_2_2,11:D17,6109168_1_2,2,2010-10-08 18:19:35.000001,2010-10-08 18:43:37.000001,2010-10-08 18:21:57.000000,2010-10-08 18:22:45.000000,8736.927,876.806,19493.334,42.9072476912,38.6998783241,11.4671186099
6043242_1_2,10:723,6031905_1_1,3,2010-06-01 17:08:00.000000,2010-06-01 17:09:06.000000,2010-06-01 17:27:39.999998,2010-06-01 17:48:16.000000,3798.6859999999997,277.101,15933.386,12.120890224000002,4.75434456056,32.0970797855
6130969_2_1,10:213,6084792_1_1,1,2010-06-23 07:37:25.000000,2010-06-23 07:38:56.000000,2010-06-23 07:57:55.000003,2010-06-23 08:19:12.000000,2848.1040000000003,591.993,16950.823,9.49438017384,2.67197064123,32.0038452371
